,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,total_of_special_requests,hotel_Resort Hotel,meal_FB,meal_HB,meal_SC,meal_Undefined,reserved_room_type_B,reserved_room_type_C,reserved_room_type_D,reserved_room_type_E,reserved_room_type_F,reserved_room_type_G,reserved_room_type_H,reserved_room_type_L,reserved_room_type_P,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
reserved_room_type_C,-0.00733314891790947,-0.01978930332188094,0.005276020010477141,0.032830246051830894,0.04053321569802254,0.028070196000709268,0.25984974878745715,-0.0014853524362037959,-0.008250626754225217,-0.006341626725814377,0.03704533690250465,-0.01092856859795435,0.10247874655954388,0.02311065306535323,0.1219984906715874,0.030100149643483814,0.03386195615253487,-0.026090640411460198,0.014376502579954896,-0.00860864335237722,1.0,-0.038832349107203616,-0.02134534511111665,-0.01398829813325461,-0.011851879673155156,-0.006309421274054877,-0.0006288440104188749,-0.0008893420774541721,-0.032802495701426196,0.009657397329918696,0.0006801063203128241,0.028250585503962682,-0.025008119093922875
reserved_room_type_D,-0.047684074639046406,-0.07040302243315971,-0.01019441913613785,0.0937029499650577,0.11268793535179876,0.175724593074249,-0.06937913467127224,-0.031620508862179514,-0.03755626155539806,-0.02391205329546861,-0.002794298438540492,-0.05153511841301409,0.16329361031302095,0.11471161367787784,0.04780858989553788,-0.014086734664467141,0.004115504359091871,-0.12980989178780383,-0.02686240087343949,-0.0424875997822402,-0.038832349107203616,1.0,-0.10534905944785358,-0.0690386613073309,-0.05849445721099059,-0.031139885226582866,-0.0031036333538847155,-0.004389310685747532,-0.14829190502779555,-0.010563161451646833,0.016503818570155957,0.10578729012128268,-0.12558414108910487
reserved_room_type_E,-0.03862470507476806,-0.029034042516021066,-0.008071741807991037,0.09219024044007568,0.1146892137089004,0.05145927945250589,-0.007291568521247586,-0.004934398614106297,-0.019160138550839378,0.0002715224481514456,0.024155559399947575,-0.025154344350879022,0.10812730290595095,0.07981067310973816,0.21751593200153138,-0.0025674391910381986,0.06323364333225855,-0.07040188692935148,-0.007475257501243253,-0.0233545613681842,-0.02134534511111665,-0.10534905944785358,1.0,-0.037949134819174855,-0.03215320229041755,-0.017116955635286615,-0.0017060035398361669,-0.0024127139753647984,-0.07887238097263324,-0.001868218571289828,0.0007518117566578587,0.05648984702704495,-0.055924417091999495
reserved_room_type_F,-0.021759672531117224,-0.05236699269310138,0.0026486567048000413,0.017701393296279733,0.014736595932494215,0.03702956746137762,0.36658724295667644,-0.008192416595910733,-0.014015213080083392,-0.006804495163702006,0.02832152336338071,-0.020804710681414453,0.20551347658987268,0.032946410565844464,0.0154379498718803,-0.003583555668707274,-0.003663011608439958,-0.0436244898864865,-0.009047986885753466,-0.015305002823280569,-0.01398829813325461,-0.0690386613073309,-0.037949134819174855,1.0,-0.02107103807578857,-0.011217297134979484,-0.0011179995454459613,-0.0015811298539321786,-0.05866884454698299,-0.0043343366179753335,-0.0031407555831431066,0.06145746445527667,-0.0651141299293198
reserved_room_type_G,-0.0016658681384944436,-0.02971612365772304,-0.0021269738213071736,0.03684270101879045,0.041440926619990846,0.05108106794716988,0.39279144078678485,-0.0006630361975450058,-0.010007967201832052,-0.001324804858252014,0.024645485586666478,-0.0170759978777721,0.1960879295865781,0.014053864862749817,0.12261573348274764,-0.005479025580685893,0.0063208214236957876,-0.040472841122286635,-0.006806702726399271,-0.012967485403217217,-0.011851879673155156,-0.05849445721099059,-0.03215320229041755,-0.02107103807578857,1.0,-0.009504090821867251,-0.000947248618884398,-0.0013396455092623929,-0.049654406656650246,-0.0049252673082509245,0.0017293230449762081,0.05681101481584454,-0.04956238751291044
reserved_room_type_H,0.005488045396809052,-0.01705805149273388,0.005339801475355889,0.012386274842522004,0.015958886949322522,0.10508341591423191,0.1563644964089349,-0.004834556736808259,-0.006918828228792717,-0.0058801625358958455,0.012174432928836439,-0.009383963862038287,0.12159905220871627,-0.015432569441034306,0.1000941602393974,-2.498967363175767e-05,0.014941117196865144,-0.022260994505501182,-0.007073326797519232,-0.006903320868112896,-0.006309421274054877,-0.031139885226582866,-0.017116955635286615,-0.011217297134979484,-0.009504090821867251,1.0,-0.0005042736471030136,-0.0007131685529154831,-0.025814775812209624,-0.0026219964420895942,-0.0015438789554910093,0.0336139647309282,-0.02974999969682346
reserved_room_type_L,-0.0005440894532886281,-0.006900463647875511,0.0013904074986176719,-0.005402085057110028,-0.005573762750221235,0.0037974001154070084,-0.00184794786453077,-0.0012871776666232167,0.0006678927782075775,0.0009290206812424398,-0.002403281559279524,-0.0009352758695786839,0.0032032264947687594,-0.0051090923564362616,0.009976130996876264,-0.0005815551570121238,-0.0026321078547678523,-0.002218696842817514,-0.0007049805357974869,-0.0006880364761445805,-0.0006288440104188749,-0.0031036333538847155,-0.0017060035398361669,-0.0011179995454459613,-0.000947248618884398,-0.0005042736471030136,1.0,-7.107970025145541e-05,-0.002644930471926566,-0.00026132773297732115,-0.0004940524692787271,0.004086350627505728,-0.0036596716011947157
reserved_room_type_P,0.013071851348406195,-0.009758974522013387,0.0031331940796021957,-0.005966543674387049,-0.008320525670249644,-0.032131625408451894,-0.0026134586091931047,-0.0018203898599983795,-0.0010345144500803415,-0.0009179606258895459,-0.0033988387886739724,-0.0013227130593003453,-0.02020407785720083,-0.007225529280546998,-0.003586024810007913,-0.0008224638589574016,-0.0037224561717356464,0.03203668878042484,-0.0009970180901512642,-0.0009730549689915427,-0.0008893420774541721,-0.004389310685747532,-0.0024127139753647984,-0.0015811298539321786,-0.0013396455092623929,-0.0007131685529154831,-7.107970025145541e-05,1.0,-0.003740590546546121,-0.00036958251186586656,0.011348742171845193,0.0038479895419518107,-0.005175687278055679
deposit_type_Non Refund,0.4814881216828731,0.38017366375152467,0.007777281346660508,-0.11427921422193303,-0.08000169547671171,-0.028971993772309707,-0.09667126347433909,-0.05842541328636587,0.14331315279354226,-0.03151064328572843,-0.11933742482271223,0.12024814406993814,-0.08762946216224382,-0.26802873199131233,-0.17201413094456958,0.06167756081864956,-0.004792399645000394,-0.11622121592423462,0.0013422196308985354,-0.03381397909319844,-0.032802495701426196,-0.14829190502779555,-0.07887238097263324,-0.05866884454698299,-0.049654406656650246,-0.025814775812209624,-0.002644930471926566,-0.003740590546546121,1.0,-0.013752450334864403,-0.02599965939000897,0.11585106509692851,-0.12143433075692542
deposit_type_Refundable,-0.011310399662664403,0.016586288902840876,-0.016887240702687163,0.001760894804041576,0.006790636125669146,0.003246534740024223,-0.006753951857178179,-0.0015145587352369647,-0.0038034391677984297,-0.0029190674289901624,0.020991010078164386,0.015220716465496617,-0.018690952314373795,-0.01996371133032066,0.042233535805798667,-0.0030238255782838613,-0.011593734738904888,-0.008343126627034993,-0.0036655821045228874,-0.003577480605704214,0.009657397329918696,-0.010563161451646833,-0.001868218571289828,-0.0043343366179753335,-0.0049252673082509245,-0.0026219964420895942,-0.00026132773297732115,-0.00036958251186586656,-0.013752450334864403,1.0,0.02367886157596323,-0.05343303213385244,0.05466000569384846
customer_type_Group,-0.03869560539011666,-0.03192689787977178,0.011618529303763395,-0.007163341934058965,-0.01618228488164875,0.05897813366814482,-0.006649961599572311,0.09797640268983787,-0.004186679560352343,0.021284352803078027,0.007851828398036893,-0.007731651735568848,-0.025298367094830528,0.006449778319125354,0.02311990399813372,-0.004234443991435036,-0.012548258261466445,-0.005284689480008884,-0.00447680962288752,0.0007737767418658921,0.0006801063203128241,0.016503818570155957,0.0007518117566578587,-0.0031407555831431066,0.0017293230449762081,-0.0015438789554910093,-0.0004940524692787271,0.011348742171845193,-0.02599965939000897,0.02367886157596323,1.0,-0.12090310262492394,-0.03597456194795331
customer_type_Transient,0.13317013575828587,-0.17402568168455096,-0.07952607160941652,0.019475392365955267,0.0072916354370862555,0.09105140481724722,0.09613478481541887,0.02347764460269588,-0.026532198422802394,0.0305362023134479,-0.0884802499487312,-0.09903141827295198,0.17783740269392678,0.13183055783872147,0.005712944178239099,-0.012352798560495468,-0.16827588488101378,0.13406943952049852,-0.09662869524286379,-0.040108043513182486,0.028250585503962682,0.10578729012128268,0.05648984702704495,0.06145746445527667,0.05681101481584454,0.0336139647309282,0.004086350627505728,0.0038479895419518107,0.11585106509692851,-0.05343303213385244,-0.12090310262492394,1.0,-0.8955843330137075
customer_type_Transient-Party,-0.12423063937286653,0.15962206083111932,0.04219149596310505,-0.06491356766564294,-0.06427709654776109,-0.11581368672881293,-0.09284617315359649,-0.030241413280566936,0.015151285094487942,-0.028599227982674374,0.10560487888177651,0.11729714433854632,-0.16078948493605544,-0.1576790915616569,-0.02776759916297425,0.01944278481571593,0.17324751628251886,-0.1283913451343164,0.10852951962312295,0.03454083270324475,-0.025008119093922875,-0.12558414108910487,-0.055924417091999495,-0.0651141299293198,-0.04956238751291044,-0.02974999969682346,-0.0036596716011947157,-0.005175687278055679,-0.12143433075692542,0.05466000569384846,-0.03597456194795331,-0.8955843330137075,1.0
